charge_point_id,Latitude,Longitude,Network
1,53.483532,-2.2372509999999997,Gamma
2,53.483433,-2.2372509999999997,Alpha
3,53.486858,-2.2359880000000003,Delta
4,53.486858,-2.2359880000000003,Beta
5,53.483501000000004,-2.236194,Gamma
6,53.483398,-2.2362,Gamma
7,53.483398,-2.2359999999999998,Beta
8,53.483458999999996,-2.2359259999999996,Beta
9,53.483215,-2.235985,Alpha
10,53.48328000000001,-2.235882,Alpha
11,53.48025500000001,-2.234355,Alpha
12,53.48015600000001,-2.234355,Beta
13,53.48025500000001,-2.234255,Beta
14,53.480056999999995,-2.234355,Delta
15,53.48015600000001,-2.234255,Gamma
16,53.480056999999995,-2.234255,Beta
17,53.476055,-2.246622,Gamma
18,53.476055,-2.246722,Beta
19,53.476055,-2.2468220000000003,Delta
20,53.476055,-2.246922,Beta
21,53.48307,-2.2530080000000003,Delta
22,53.48307,-2.2530080000000003,Beta
23,53.483008999999996,-2.253213,Alpha
24,53.483008999999996,-2.253213,Delta
25,53.476841,-2.24918,Delta
26,53.476845,-2.249211,Gamma
27,53.476849,-2.249238,Alpha
28,53.476849,-2.24926,Gamma
29,53.476677,-2.2490229999999998,Alpha
30,53.476677,-2.2490229999999998,Gamma
31,53.478694999999995,-2.233231,Beta
32,53.482257999999995,-2.231226,Alpha
33,53.482349,-2.23112,Gamma
34,53.48225,-2.23112,Gamma
35,53.478828,-2.2316,Alpha
36,53.478729,-2.2316,Gamma
37,53.47192,-2.24458,Gamma
38,53.471802000000004,-2.241207,Delta
39,53.471821,-2.24458,Alpha
40,53.480961,-2.2288490000000003,Delta
41,53.471424,-2.240198,Gamma
42,53.471199,-2.24103,Gamma
43,53.481136,-2.227845,Delta
44,53.484539,-2.25831,Gamma
45,53.484539,-2.25831,Gamma
46,53.469791,-2.23968,Alpha
47,53.469688,-2.23968,Alpha
48,53.46945600000001,-2.240338,Delta
49,53.46925400000001,-2.240338,Beta
50,53.480091,-2.22589,Gamma
51,53.46759,-2.23976,Delta
52,53.46711,-2.2467599999999996,Gamma
53,53.46711,-2.246763,Delta
54,53.46711,-2.246763,Delta
55,53.46711,-2.246773,Gamma
56,53.46654100000001,-2.237685,Delta
57,53.466572,-2.237547,Delta
58,53.466434,-2.2379599999999997,Gamma
59,53.466381000000005,-2.238124,Gamma
60,53.466522,-2.237475,Alpha
61,53.466465,-2.237573,Alpha
62,53.466354,-2.237922,Beta
63,53.466499,-2.237325,Beta
64,53.466286,-2.238032,Alpha
65,53.466460999999995,-2.237279,Gamma
66,53.465389,-2.2367,Delta
67,53.462711,-2.23432,Gamma
68,53.462607999999996,-2.23432,Beta
69,53.462509,-2.23432,Alpha
70,53.46241,-2.23432,Delta
71,53.46240600000001,-2.234305,Gamma
72,53.46236,-2.234307,Alpha
73,53.511722999999996,-2.2365369999999998,Alpha
74,53.511722999999996,-2.236437,Alpha
75,53.47073,-2.264144,Gamma
76,53.47073,-2.264144,Beta
77,53.507034,-2.2597490000000002,Delta
78,53.507034,-2.259849,Alpha
79,53.483292000000006,-2.269729,Alpha
80,53.483189,-2.269729,Gamma
81,53.507088,-2.260855,Alpha
82,53.507153,-2.26085,Alpha
83,53.483008999999996,-2.271178,Delta
84,53.482898999999996,-2.2712,Alpha
85,53.482898999999996,-2.2713,Alpha
86,53.485325,-2.273908,Gamma
87,53.485325,-2.273908,Gamma
88,53.45923199999999,-2.2219349999999998,Beta
89,53.45923199999999,-2.221835,Beta
90,53.519211,-2.22845,Delta
91,53.51931,-2.22845,Delta
92,53.48835,-2.278579,Gamma
93,53.48835,-2.278679,Delta
94,53.46442,-2.212652,Gamma
